model,score
LogisticRegression,0.8207012387150955
LogisticRegression,0.8292734145317093
LogisticRegression,0.8223435531289375
LogisticRegression,0.8240235195296094
LogisticRegression,0.8156236875262495
LogisticRegression,0.8236035279294414
LogisticRegression,0.8231835363292734
LogisticRegression,0.8183536329273414
LogisticRegression,0.8286434271314573
LogisticRegression,0.8223435531289375
KNeighbors,0.8358177619147596
KNeighbors,0.8393532129357413
KNeighbors,0.8357832843343133
KNeighbors,0.8341033179336413
KNeighbors,0.8311633767324653
KNeighbors,0.8387232255354893
KNeighbors,0.8416631667366653
KNeighbors,0.8311633767324653
KNeighbors,0.8399832003359933
KNeighbors,0.8322133557328854
XGBClassifier,0.8685702288473651
XGBClassifier,0.8742125157496851
XGBClassifier,0.878832423351533
XGBClassifier,0.8786224275514489
XGBClassifier,0.8666526669466611
XGBClassifier,0.875052498950021
XGBClassifier,0.877782444351113
XGBClassifier,0.8704325913481731
XGBClassifier,0.8729525409491811
XGBClassifier,0.871482570348593
RandomForest,0.851984043669956
RandomForest,0.8582528349433012
RandomForest,0.8597228055438891
RandomForest,0.8540529189416212
RandomForest,0.8509029819403612
RandomForest,0.8572028559428811
RandomForest,0.864552708945821
RandomForest,0.8584628307433851
RandomForest,0.8567828643427131
RandomForest,0.8532129357412852
